attendance_id,student_id,group_id,date,status
A000001,S0106,G001,2026-03-19,present
A000002,S0019,G001,2026-03-21,present
A000003,S0106,G001,2026-03-21,present
A000004,S0019,G001,2026-03-23,present
A000005,S0106,G001,2026-03-23,present
A000006,S0008,G001,2026-03-25,present
A000007,S0019,G001,2026-03-25,present
A000008,S0106,G001,2026-03-25,present
A000009,S0008,G001,2026-03-27,present
A000010,S0019,G001,2026-03-27,present
A000011,S0106,G001,2026-03-27,late
A000012,S0008,G001,2026-03-31,late
A000013,S0019,G001,2026-03-31,present
A000014,S0106,G001,2026-03-31,present
A000015,S0214,G001,2026-03-31,absent
A000016,S0008,G001,2026-04-02,present
A000017,S0019,G001,2026-04-02,present
A000018,S0106,G001,2026-04-02,present
A000019,S0214,G001,2026-04-02,present
A000020,S0008,G001,2026-04-04,present
A000021,S0019,G001,2026-04-04,present
A000022,S0106,G001,2026-04-04,present
A000023,S0214,G001,2026-04-04,present
A000024,S0008,G001,2026-04-06,present
A000025,S0019,G001,2026-04-06,present
A000026,S0106,G001,2026-04-06,present
A000027,S0214,G001,2026-04-06,present
A000028,S0008,G001,2026-04-08,present
A000029,S0019,G001,2026-04-08,present
A000030,S0106,G001,2026-04-08,excused
A000031,S0214,G001,2026-04-08,present
A000032,S0008,G001,2026-04-10,present
A000033,S0019,G001,2026-04-10,present
A000034,S0106,G001,2026-04-10,present
A000035,S0214,G001,2026-04-10,absent
A000036,S0008,G001,2026-04-14,present
A000037,S0019,G001,2026-04-14,present
A000038,S0106,G001,2026-04-14,present
A000039,S0214,G001,2026-04-14,present
A000040,S0008,G001,2026-04-16,present
A000041,S0019,G001,2026-04-16,present
A000042,S0106,G001,2026-04-16,late
A000043,S0214,G001,2026-04-16,present
A000044,S0008,G001,2026-04-18,present
A000045,S0019,G001,2026-04-18,present
A000046,S0106,G001,2026-04-18,present
A000047,S0214,G001,2026-04-18,present
A000048,S0008,G001,2026-04-20,present
A000049,S0019,G001,2026-04-20,excused
A000050,S0106,G001,2026-04-20,present
A000051,S0214,G001,2026-04-20,present
A000052,S0008,G001,2026-04-22,present
A000053,S0019,G001,2026-04-22,present
A000054,S0106,G001,2026-04-22,present
A000055,S0214,G001,2026-04-22,late
A000056,S0008,G001,2026-04-24,present
A000057,S0019,G001,2026-04-24,present
A000058,S0106,G001,2026-04-24,present
A000059,S0214,G001,2026-04-24,present
A000060,S0008,G001,2026-04-28,present
A000061,S0019,G001,2026-04-28,present
A000062,S0106,G001,2026-04-28,present
A000063,S0214,G001,2026-04-28,present
A000064,S0008,G001,2026-04-30,late
A000065,S0019,G001,2026-04-30,absent
A000066,S0106,G001,2026-04-30,present
A000067,S0214,G001,2026-04-30,late
A000068,S0008,G001,2026-05-02,present
A000069,S0019,G001,2026-05-02,absent
A000070,S0106,G001,2026-05-02,present
A000071,S0214,G001,2026-05-02,present
A000072,S0008,G001,2026-05-04,present
A000073,S0019,G001,2026-05-04,present
A000074,S0106,G001,2026-05-04,late
A000075,S0214,G001,2026-05-04,present
A000076,S0008,G001,2026-05-06,late
A000077,S0019,G001,2026-05-06,present
A000078,S0106,G001,2026-05-06,present
A000079,S0214,G001,2026-05-06,present
A000080,S0008,G001,2026-05-08,present
A000081,S0019,G001,2026-05-08,present
A000082,S0106,G001,2026-05-08,present
A000083,S0214,G001,2026-05-08,absent
A000084,S0008,G001,2026-05-12,present
A000085,S0019,G001,2026-05-12,present
A000086,S0106,G001,2026-05-12,present
A000087,S0214,G001,2026-05-12,present
A000088,S0008,G001,2026-05-14,late
A000089,S0019,G001,2026-05-14,present
A000090,S0106,G001,2026-05-14,present
A000091,S0214,G001,2026-05-14,present
A000092,S0008,G001,2026-05-16,present
A000093,S0019,G001,2026-05-16,present
A000094,S0106,G001,2026-05-16,present
A000095,S0214,G001,2026-05-16,absent
A000096,S0008,G001,2026-05-18,present
A000097,S0019,G001,2026-05-18,present
A000098,S0106,G001,2026-05-18,present
A000099,S0214,G001,2026-05-18,present
A000100,S0008,G001,2026-05-20,present
A000101,S0019,G001,2026-05-20,late
A000102,S0106,G001,2026-05-20,present
A000103,S0214,G001,2026-05-20,present
A000104,S0008,G001,2026-05-22,present
A000105,S0019,G001,2026-05-22,present
A000106,S0106,G001,2026-05-22,present
A000107,S0214,G001,2026-05-22,present
A000108,S0008,G001,2026-05-26,present
A000109,S0019,G001,2026-05-26,present
A000110,S0106,G001,2026-05-26,present
A000111,S0114,G001,2026-05-26,late
A000112,S0214,G001,2026-05-26,present
A000113,S0008,G001,2026-05-28,present
A000114,S0019,G001,2026-05-28,present
A000115,S0106,G001,2026-05-28,present
A000116,S0114,G001,2026-05-28,late
A000117,S0214,G001,2026-05-28,present
A000118,S0008,G001,2026-05-30,present
A000119,S0019,G001,2026-05-30,absent
A000120,S0106,G001,2026-05-30,present
A000121,S0114,G001,2026-05-30,present
A000122,S0214,G001,2026-05-30,present
A000123,S0008,G001,2026-06-01,present
A000124,S0019,G001,2026-06-01,present
A000125,S0106,G001,2026-06-01,present
A000126,S0114,G001,2026-06-01,present
