expense_id,date,category,amount,note
X0001,2025-09-01,rent,26069330,Chilonzor filial ijarasi
X0002,2025-09-01,rent,19926543,Yunusobod filial ijarasi
X0003,2025-09-01,rent,24565507,Sergeli filial ijarasi
X0004,2025-09-01,utilities,6934687,kommunal to'lovlar
X0005,2025-09-01,salary,183352440,oylik ish haqi fondi
X0006,2025-09-12,marketing,2420413,reklama kampaniyasi
X0007,2025-09-27,marketing,3769520,reklama kampaniyasi
X0008,2025-09-10,marketing,4333689,reklama kampaniyasi
X0009,2025-09-28,equipment,10411441,texnika/mebel xaridi
X0010,2025-10-01,rent,18044925,Chilonzor filial ijarasi
X0011,2025-10-01,rent,21543893,Yunusobod filial ijarasi
X0012,2025-10-01,rent,26985981,Sergeli filial ijarasi
X0013,2025-10-01,utilities,5039947,kommunal to'lovlar
X0014,2025-10-01,salary,173770348,oylik ish haqi fondi
X0015,2025-10-23,marketing,7671904,reklama kampaniyasi
X0016,2025-10-31,marketing,4033838,reklama kampaniyasi
X0017,2025-10-18,marketing,6815780,reklama kampaniyasi
X0018,2025-10-28,equipment,3096247,texnika/mebel xaridi
X0019,2025-10-05,other,757611,boshqa xarajatlar
X0020,2025-11-01,rent,27299624,Chilonzor filial ijarasi
X0021,2025-11-01,rent,25545340,Yunusobod filial ijarasi
X0022,2025-11-01,rent,17560084,Sergeli filial ijarasi
X0023,2025-11-01,utilities,4589365,kommunal to'lovlar
X0024,2025-11-01,salary,146815794,oylik ish haqi fondi
X0025,2025-11-02,marketing,7929185,reklama kampaniyasi
X0026,2025-11-03,marketing,5447011,reklama kampaniyasi
X0027,2025-11-18,marketing,3074639,reklama kampaniyasi
X0028,2025-11-03,marketing,4713427,reklama kampaniyasi
X0029,2025-12-01,rent,26689645,Chilonzor filial ijarasi
X0030,2025-12-01,rent,26327336,Yunusobod filial ijarasi
X0031,2025-12-01,rent,20151731,Sergeli filial ijarasi
X0032,2025-12-01,utilities,6935026,kommunal to'lovlar
X0033,2025-12-01,salary,182147531,oylik ish haqi fondi
X0034,2025-12-16,marketing,2758185,reklama kampaniyasi
X0035,2025-12-06,marketing,8106991,reklama kampaniyasi
X0036,2025-12-11,marketing,8425637,reklama kampaniyasi
X0037,2026-01-01,rent,19720862,Chilonzor filial ijarasi
X0038,2026-01-01,rent,21035820,Yunusobod filial ijarasi
X0039,2026-01-01,rent,25637633,Sergeli filial ijarasi
X0040,2026-01-01,utilities,6349067,kommunal to'lovlar
X0041,2026-01-01,salary,163855779,oylik ish haqi fondi
X0042,2026-01-08,marketing,6407582,reklama kampaniyasi
X0043,2026-01-13,marketing,4659770,reklama kampaniyasi
X0044,2026-01-23,marketing,4002408,reklama kampaniyasi
X0045,2026-01-08,marketing,5085744,reklama kampaniyasi
