payment_id,student_id,group_id,amount,due_date,paid_date,method,status,month_for
P00001,S0001,G011,1690000,2026-05-06,2026-05-08,cash,paid,2026-05
P00002,S0001,G011,1720000,2026-06-06,2026-06-15,transfer,paid,2026-06
P00003,S0001,G011,1200000,2026-07-06,2026-07-13,card,paid,2026-07
P00004,S0002,G015,1490000,2026-08-06,,card,pending,2026-08
P00005,S0003,G013,1050000,2026-06-06,2026-06-09,card,paid,2026-06
P00006,S0003,G013,1060000,2026-07-06,2026-07-07,cash,paid,2026-07
P00007,S0004,G015,980000,2026-08-06,2026-08-09,card,paid,2026-08
P00008,S0005,G011,1580000,2026-08-06,,card,overdue,2026-08
P00009,S0006,G004,1780000,2026-01-06,2026-01-14,card,paid,2026-01
P00010,S0006,G004,1350000,2026-02-06,2026-02-09,cash,paid,2026-02
P00011,S0006,G004,1370000,2026-03-06,2026-03-13,card,paid,2026-03
P00012,S0006,G004,1380000,2026-04-06,2026-04-16,cash,paid,2026-04
P00013,S0006,G004,1670000,2026-05-06,2026-05-11,transfer,paid,2026-05
P00014,S0007,G006,1110000,2026-07-06,2026-07-06,cash,paid,2026-07
P00015,S0007,G006,1170000,2026-08-06,2026-08-11,cash,paid,2026-08
P00016,S0008,G001,920000,2026-03-06,2026-03-07,cash,paid,2026-03
P00017,S0008,G001,1070000,2026-04-06,2026-04-06,card,paid,2026-04
P00018,S0008,G001,1550000,2026-05-06,2026-05-14,card,paid,2026-05
P00019,S0008,G001,1450000,2026-06-06,2026-06-15,card,paid,2026-06
P00020,S0008,G001,1550000,2026-07-06,2026-07-10,cash,paid,2026-07
P00021,S0008,G001,1520000,2026-08-06,2026-08-07,card,paid,2026-08
P00022,S0009,G021,1050000,2026-05-06,2026-05-16,transfer,paid,2026-05
P00023,S0009,G021,1090000,2026-06-06,,cash,pending,2026-06
P00024,S0009,G021,1080000,2026-07-06,2026-07-15,card,paid,2026-07
P00025,S0010,G004,1140000,2026-03-06,2026-03-15,transfer,paid,2026-03
P00026,S0010,G004,1270000,2026-04-06,2026-04-10,cash,paid,2026-04
P00027,S0010,G004,1590000,2026-05-06,2026-05-07,transfer,paid,2026-05
P00028,S0011,G020,1000000,2026-07-06,2026-07-12,card,paid,2026-07
P00029,S0011,G020,820000,2026-08-06,2026-08-14,card,paid,2026-08
P00030,S0012,G019,1120000,2026-08-06,2026-08-09,card,paid,2026-08
P00031,S0013,G028,840000,2026-08-06,2026-08-10,card,paid,2026-08
