date,channel,sessions,unique_visitors,leads_generated,cost
2025-09-01,instagram,127,96,0,111900.0
2025-09-01,telegram,49,27,1,60300.0
2025-09-01,google,58,43,0,118200.0
2025-09-01,facebook,53,30,2,51800.0
2025-09-01,referral,37,23,1,0.0
2025-09-01,organic,43,30,1,0.0
2025-09-02,instagram,140,83,4,145900.0
2025-09-02,telegram,82,51,2,84700.0
2025-09-02,google,48,29,0,63200.0
2025-09-02,facebook,49,31,0,51200.0
2025-09-02,referral,10,5,1,0.0
2025-09-02,organic,46,33,0,0.0
2025-09-03,instagram,90,55,1,122900.0
2025-09-03,telegram,69,52,2,127000.0
2025-09-03,google,70,51,1,65200.0
2025-09-03,facebook,24,13,0,27200.0
2025-09-03,referral,30,23,2,0.0
2025-09-03,organic,35,22,0,0.0
2025-09-04,instagram,82,46,3,90800.0
2025-09-04,telegram,77,48,0,81700.0
2025-09-04,google,67,47,0,142000.0
2025-09-04,facebook,42,30,0,72400.0
2025-09-04,referral,18,13,0,0.0
2025-09-04,organic,48,37,1,0.0
2025-09-05,instagram,147,104,2,304600.0
2025-09-05,telegram,52,41,1,89400.0
2025-09-05,google,71,53,0,129800.0
2025-09-05,facebook,37,27,0,31500.0
2025-09-05,referral,31,23,0,0.0
2025-09-05,organic,48,27,0,0.0
2025-09-06,instagram,103,63,1,119500.0
2025-09-06,telegram,101,77,1,177200.0
2025-09-06,google,62,49,0,124500.0
2025-09-06,facebook,35,22,0,61500.0
2025-09-06,referral,23,13,2,0.0
2025-09-06,organic,79,57,1,0.0
2025-09-07,instagram,105,80,0,169700.0
2025-09-07,telegram,92,50,2,156000.0
2025-09-07,google,49,33,0,40800.0
2025-09-07,facebook,41,24,0,68800.0
2025-09-07,referral,32,18,3,0.0
2025-09-07,organic,50,38,0,0.0
2025-09-08,instagram,102,59,0,164100.0
2025-09-08,telegram,71,41,1,72300.0
2025-09-08,google,37,23,1,76000.0
2025-09-08,facebook,48,28,0,96900.0
2025-09-08,referral,23,15,0,0.0
2025-09-08,organic,49,34,1,0.0
2025-09-09,instagram,132,84,1,278500.0
2025-09-09,telegram,82,45,0,77200.0
2025-09-09,google,73,52,0,70200.0
2025-09-09,facebook,30,20,1,52800.0
2025-09-09,referral,21,13,0,0.0
2025-09-09,organic,58,32,1,0.0
2025-09-10,instagram,137,106,1,278400.0
2025-09-10,telegram,102,78,1,171900.0
2025-09-10,google,44,34,1,73200.0
2025-09-10,facebook,30,17,1,46300.0
2025-09-10,referral,23,16,1,0.0
2025-09-10,organic,72,54,1,0.0
2025-09-11,instagram,94,66,2,180700.0
2025-09-11,telegram,92,72,1,139500.0
2025-09-11,google,54,36,0,80100.0
